                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.71033,                0.53979,                 1.0866,                0.83184,                0.89894,                0.91756,                 0.7247,                0.98753,                0.60922,                 1.3422,               0.000948,               0.000948,               0.000948
                     36,                0.69062,                0.52301,                 1.0723,                0.86233,                0.82865,                 0.8964,                0.67706,                 1.0283,                0.65722,                  1.378,             0.00093385,             0.00093385,             0.00093385
                     37,                0.70844,                0.53158,                  1.084,                0.79573,                0.85195,                0.84746,                0.65397,                 1.0157,                 0.7637,                 1.3884,              0.0009197,              0.0009197,              0.0009197
                     38,                0.67074,                0.50449,                  1.058,                0.82966,                  0.898,                0.91329,                0.71534,                0.95577,                0.63092,                 1.3179,             0.00090556,             0.00090556,             0.00090556
                     39,                0.69347,                0.52195,                 1.0763,                0.86608,                0.87506,                0.92011,                0.73233,                0.96916,                0.62718,                 1.3326,             0.00089141,             0.00089141,             0.00089141
                     40,                0.67875,                0.50295,                 1.0647,                0.87681,                0.84077,                0.90903,                0.72042,                0.95526,                0.70161,                 1.3251,             0.00087726,             0.00087726,             0.00087726
                     41,                0.67581,                0.50256,                 1.0628,                0.84687,                0.86882,                0.89482,                0.69243,                0.98926,                0.62469,                 1.3667,             0.00086312,             0.00086312,             0.00086312
                     42,                0.66417,                 0.4877,                 1.0588,                0.87346,                0.83499,                0.91132,                0.71751,                0.94235,                0.60083,                 1.3236,             0.00084897,             0.00084897,             0.00084897
                     43,                0.66647,                0.48098,                 1.0601,                  0.831,                0.85604,                0.89827,                0.70664,                0.94201,                0.66781,                 1.3321,             0.00083482,             0.00083482,             0.00083482
                     44,                0.66773,                0.48586,                 1.0637,                0.81655,                 0.8781,                0.88843,                0.67481,                 1.0089,                0.68861,                 1.3818,             0.00082067,             0.00082067,             0.00082067
                     45,                0.63255,                0.45764,                   1.04,                0.86493,                0.87949,                0.92225,                0.73291,                0.94588,                0.60618,                 1.3155,             0.00080653,             0.00080653,             0.00080653
                     46,                0.64253,                0.47271,                 1.0435,                0.79676,                0.91069,                0.91152,                0.71006,                0.98862,                0.62755,                 1.3722,             0.00079238,             0.00079238,             0.00079238
                     47,                0.64461,                0.47572,                 1.0438,                0.84113,                0.89246,                0.91616,                0.72301,                0.96342,                0.61594,                 1.3562,             0.00077823,             0.00077823,             0.00077823
